npsn,jenis,nama,kecamatan
69957075,KB,ABIDARI,Bukit Raya
70047147,KB,ABIDARI ISLAMIC CREATIVE SCHOOL 2,Pekanbaru Kota
69973063,KB,ADIFA,Binawidya
69861886,KB,AGAPE,Payung Sekaki
69861966,KB,AISYIYAH CABANG SUKAJADI,Sukajadi
69861873,KB,AL FAIQ,Binawidya
70040169,KB,AL KHANZA,Kulim
69861863,KB,AL-HUSNAYAINI,Tuahmadani
69861860,KB,AL-IZHAR,Tuahmadani
69861938,KB,AL-MUTTAQIN,Limapuluh
69919040,KB,ALDO - ALDI KIDS,Tuahmadani
69969342,KB,ALFA KIDS,Limapuluh
69944330,KB,ALFA OMEGA KIDS,Tuahmadani
70032184,KB,ALUMNA INDONESIA ISLAMIC SCHOOL,Sail
70038850,KB,ALUMNA ISLAMIC SCHOOL CAB. HARAPAN RAYA,Bukit Raya
69972820,KB,ALUMNA ISLAMIC SCHOOL SUKAJADI,Sukajadi
69919541,KB,AN-NAHL,Bukit Raya
69861984,KB,ANGGREK KIDS,Rumbai
69861853,KB,ANNISA CENDEKIA,Tuahmadani
69990309,KB,APPLE TREE PEKANBARU,Payung Sekaki
69978991,KB,ARASTAMAR KIDS,Tenayan Raya
69919547,KB,AS-SHIFA CITRA,Tuahmadani
69861884,KB,AULIA,Payung Sekaki
69947707,KB,AULIA KIDS,Binawidya
69949782,KB,BABY SCHOOL DAN PRE SCHOOL QURROTA AYUN,Sukajadi
69919027,KB,BAITUL AMAL,Tenayan Raya
70044038,KB,BEI PLAYSCHOOL,Pekanbaru Kota
69861948,KB,BERKAH CERIA,Tenayan Raya
69831696,KB,BHAKTI BUNDA,Payung Sekaki
69922142,KB,BINTANG CENDEKIA 2,Binawidya
69919502,KB,BINTANG KHALIFAH,Marpoyan Damai
69967690,KB,BINTANG MUTIARA,Tenayan Raya
69861865,KB,BINTANG PELANGI,Tuahmadani
69861943,KB,CAHAYA BUNDA,Tenayan Raya
70035178,KB,CAHAYA KASIH,Pekanbaru Kota
69861871,KB,CEMARA RIDASA,Binawidya
70049230,KB,CENDANA RUMBAI,Rumbai
69861899,KB,CERLIANA,Bukit Raya
69967436,KB,DAMAI SEJAHTERA,Rumbai Barat
69861939,KB,DARMA YUDHA,Payung Sekaki
69921754,KB,DHARMA LOKA 1,Payung Sekaki
69861898,KB,DINDA KIDS,Bukit Raya
69977486,KB,DUTA RAUDHA CENTER RIAU,Rumbai Timur
69861969,KB,EDUCATION 21,Sukajadi
69861878,KB,EDUCATION 21 KULIM,Payung Sekaki
70053965,KB,EMIRAT SCHOOL,Marpoyan Damai
69969056,KB,FITRI PERMATA HATI,Binawidya
69921784,KB,FKIP UNIVERSITAS RIAU,Binawidya
69967520,KB,FORTUNA PRADIPTA,Rumbai
69918689,KB,GENERASI BANGSA,Tenayan Raya
70036828,KB,GENERASI BINTANG BANGSA,Kulim
69919545,KB,GENERASI HARAPAN BANGSA 2,Rumbai
69964327,KB,GENERASI PILIHAN,Rumbai
69978309,KB,GENERASI TERANG BANGSA,Binawidya
70000444,KB,GENIUS AULAD,Marpoyan Damai
70007312,KB,GOLDEN KIDS,Tenayan Raya
70026347,KB,GRACIOUS PRESCHOOL & KINDERGARTEN,Senapelan
69861887,KB,GROW EDUCATION,Payung Sekaki
70006915,KB,GUANG MING 1,Binawidya
69956876,KB,GUANG MING 2,Limapuluh
69987287,KB,HAPPY STAR KIDS,Tuahmadani
69967371,KB,HEAVEN KIDS,Binawidya
69960960,KB,HOSANA FUN KIDS,Rumbai
69957079,KB,HUMAIRA AL-HASBI,Marpoyan Damai
70012934,KB,HUMAIROH 4,Binawidya
70040484,KB,I.C.E ISLAMIC BILINGUAL SCHOOL,Pekanbaru Kota
69861872,KB,IBNU AQIL,Binawidya
69861852,KB,IBU TELADAN,Tuahmadani
69960348,KB,IHSAN FIKRI,Tuahmadani
70010549,KB,INAYAH,Tenayan Raya
69921790,KB,INDONESIAN CREATIVE SCHOOL,Marpoyan Damai
69964347,KB,INKLUSI HARAPAN YASTI,Tuahmadani
69968783,KB,INKLUSI TERPADU BINA CERIA,Binawidya
70056654,KB,ISLAM AL AZHAR 54,Tuahmadani
70044578,KB,IT AL-ITTIHAD,Rumbai
69861893,KB,IT BUNAYYA,Bukit Raya
70053319,KB,JAINA HUMAIRA,Kulim
69978568,KB,JR EDECATION,Payung Sekaki
69988835,KB,JUNIOR GOOD SCHOOL,Binawidya
70057225,KB,KANAKA,Sail
70013098,KB,KARTIKA 1-21 TUNAS CENDEKIA,Bukit Raya
69990310,KB,KASIH CAHAYA BUNDA,Limapuluh
69861993,KB,KASIH IBU,Rumbai
69861928,KB,KHADIZAH KIDS,Tenayan Raya
69861866,KB,KIDS CENTRE AL FITYAH,Tuahmadani
70025219,KB,KOMUNITAS MONTESSORI,Payung Sekaki
69861952,KB,KRISTEN KALAM KUDUS,Limapuluh
69921791,KB,KUMALA,Senapelan
69861895,KB,LILIK,Bukit Raya
69861888,KB,LILY JAYA,Payung Sekaki
69957077,KB,MADANI CENDEKIA,Rumbai
69948969,KB,MIFTAHUL HUDA,Bukit Raya
69861926,KB,MITRA HANDAYANI,Tenayan Raya
69861949,KB,MONTESSORI,Limapuluh
69919546,KB,MUSLIMAT NU 2,Tuahmadani
69861959,KB,MUTIARA BUNDA,Pekanbaru Kota
69967896,KB,MUTIARA CENDEKIA,Rumbai Barat
70059841,KB,MUTIARA SALJU,Tenayan Raya
69861855,KB,NAZLA ASSYIFA,Tuahmadani
